title,date,body,location,entities
Labour insists NAO report on hospitals concession is good news for Abela,"May 16, 2023 2:52 PM",The Labour Party continued its attempts to describe the National Audit Office ’ s latest damning report on the hospitals concession as good news on Tuesday through a press conference which saw minister Jonathan Attard and parliamentary secretary Ellul insist that the report completely exculpated prime minister Robert Abela and his government What went unsaid perhaps is that this conclusion is a tacit admission that the same could not be said about Abela ’ s predecessor Joseph Muscat Though Muscat was not mentioned by the two politicians in their press conference at the Labour HQ – prime minister Abela has long studiously avoided mentioning his predecessor by name and his address to Parliament on Monday was no exception – their defence of the government effectively laid all ills concerning the concession on Muscat ’ s feet Perhaps tellingly the two participants in Tuesday ’ s press conference had both been coopted to parliament by Abela and thus had not formed part of the Muscat government that created a hospitals concession that was controversial from the very start The minister directly responsible for the hospitals – health minister and deputy PM Chris Fearne – has yet to make any comments on the latest report Following on Abela ’ s footsteps Attard and Ellul also made no reference to one of the mostreported findings of the NAO report that former minister Konrad Mizzi misled cabinet on the transfer of the concession from Vitals Global Healthcare to Steward Health Care and that he engineered a controversial €100 million payoff clause in favour of the latter In his own reaction Konrad dismissed the report as “ blatantly false ” In making the party ’ s case in favour of its leader Attard quoted a specific section in the NAO ’ s report in which auditor general Charles Deguara observed that “ the change in prime minister marked a departure in the approach that was to be adopted by the government in its negotiations with the SHC Steward Immediately evident was that government considered terminating the contractual arrangements in place ” “ This was not what the opposition wanted to hear because it deflates every balloon it sought to inflate concerning the prime minister and the government ” Attard said describing the opposition ’ s reaction as dishonest But while Attard quoted the auditor general correctly Deguara ’ s subsequent remarks clearly qualify a comment which when taken in isolation could suggest that he is speaking highly of the Abela government ’ s conduct Deguara ’ s comment came in a section titled “ the failed attempts to revitalise the concession ” – highlighted that negotiations failed and that according to Steward the government effectively aborted them in August 2021 “ After three and a half years the government and the SHC have nothing to show in terms of progress registered with respect to the renegotiation of the concession The impasse that would derail the second and third rounds of negotiations that is the fundamental changes to the nature and scope of the concession that were being sought was such a basic principle underpinning the concession agreements and the Public Procurement Regulations that the NAO fails to comprehend how the parties ignored such limitations more so when these had been flagged at intervals during the negotiation process ” he later observed adding that doubts persisted on the “ government ’ s commitment to renegotiate the terms of the concession ” Deguara also went on to observe that the government ’ s decision to set dates for the finalisation of negotiations only to postpone at the last minute “ reflected poorly on the government ’ s management of the process ” Attard repeatedly described the Nationalist Party ’ s reaction as “ hysterical ” an adjective that Ellul endorsed when he took up the mic whilst suggesting that “ confused ” was also an apt descriptor of Labour ’ s political rival The parliamentary secretary referred to the scenes that characterised Parliament on Monday with the opposition refusing a request to hold an urgent debate on Monday as soon as the NAO report is published and the government refusing the counterproposal to hold a debate on Tuesday and Wednesday instead In spite of this Abela went on to react to the report despite repeated pleas by speaker Anġlu Farrugia to stick to the topic at hand derailing the scheduled discussion on the Environment and Resources Authority Ellul acknowledged that the length of the report – the full report exceeds 450 pages and even the abridged version is around 100 pages in length – meant that MPs required time to read the report But he insisted that the government ’ s offer to suspend the sitting for some time – but not wait for the following day – would suffice Ultimately the parliamentary secretary was highly critical of the PN ’ s decision to hold a press conference to offer its initial reactions insisting that the opposition wanted to stifle debate In his interpretations of PN MPs ’ reactions to Abela ’ s speech in Parliament Ellul pursued a trope that Labour has long indulged in since Bernard Grech succeeded Adrian Delia as PN leader – that the party is split into two camps with one camp favouring Grech ’ s predecessor He suggested that Grech was forced to speak after MP Alex Borg – who Ellul argued recognised Delia as the party ’ s true leader – and Delia himself addressed parliament “ The opposition leader – one of them Bernard Grech – wants to lower the level of politics in this country ” Ellul said Predictably he went on to suggest that the government would resist this and do the opposite,"['Attard', 'Attard', 'Attard', 'Attard', 'Attard', 'Attard']","[(211, 217, 'LOC'), (1265, 1271, 'LOC'), (1709, 1715, 'LOC'), (2226, 2232, 'LOC'), (2300, 2306, 'LOC'), (3672, 3678, 'LOC')]"
IM chief dismisses concerns about safety of crash barriers,"May 16, 2023 1:25 PM",Tista ' taqra bil Malti Road crash barriers deployed by Infrastructure Malta conform and are certified in line with European standards the agency ’ s CEO Ivan Falzon said In comments to Newsbookcommt Falzon dismissed concerns raised by motorcyclists over the safety of road barriers in Maltese roads Following the tragic death of Rupert Tabone on Sunday afternoon many motorcyclists blamed the poorly designed crash barriers for the the latest road fatality Tabone 54 died on Sunday afternoon after he lost control of his motorcycle on Triq Dun Karm in Birkirkara The man was pronounced dead on site Footage from the incident site show that the victim was caught between the crash barriers dividing the two carriageways with eyewitnesses explaining that he was stuck beneath them Taking to social media several motorcyclists insisted that such crash barriers are a death trap and responsible for many deaths In the past motorcyclists warned that the crash barrier ends can be “ like crashing into the sharp edge of a knife ” However Falzon said that crash barriers on Maltese roads are fully certified according to EU regulations and are installed in accordance with the producer ’ s installation method “ Over the last few years since its inception Infrastructure Malta IM introduced new standards for road infrastructure including new restraint systems and such approaches have been implemented across the various projects IM implemented ” Falzon said He added that “ when it comes to road safety I see a collective responsibility of all starting from our individual behaviour when driving to our ambitious but achievable target in designing more forgiving roads including applying new technologies and standards as they become available ” Recently ĦażŻebbuġ councillor Steve Zammit Lupi a motorcyclist himself likened the crash barriers on Maltese roads to a grater and said they cause serious injuries to the victim A 2015 study by the Swedish Motorcyclists Association had found that guardrails with unprotected posts and protruding parts lead to the most serious injuries Smooth barriers without unprotected posts provide less risk of injury According to the Federation of European Motorcyclists Association space underneath the crash barrier beam can also be dangerous Riders sliding on the ground can go underneath the guardrail or hit a post and both can lead to severe injury,['Birkirkara'],"[(553, 563, 'LOC')]"
PA starts demolishing illegal development in Pietà,"May 17, 2023 3:28 PM",The Planning Authority started removing illegal development adjacent to the Pietà Bocci Club which is located within a Grade 1 scheduled area on Wednesday morning The illegalities are subject to multiple enforcement notices and consist of excavations and unauthorised extensions to the existing building within parts of the scheduled military glacis In a statement the PA said the contravener not only ignored its enforcement notices and warnings but also carried out further illegal works “ The Authority stepped in to start removing these illegal extensions at the full expense of the contravener ” Prior to the operation the PA liaised with the Superintendence of Cultural Heritage SCH to ensure that the remedial works are carried out in a manner not to cause further damage to the scheduled area Due to the sensitivity of the operation and the difficult access to the site most of the works are being carried out manually The authority is being assisted by members of the Police Force,['Pietà'],"[(76, 81, 'LOC')]"
"Repubblika demands arrest of Muscat, Mizzi to prevent them from fleeing","May 16, 2023 3:07 PM",Tista ' taqra bil Malti Repubblika asked the magistrate conducting an inquiry into the hospitals privatisation deal with Vitals Global Healthcare to take note of the damning Auditor General report on the concession and if necessary order the immediate arrest of people who are preparing to abscond In comments to Newsbookcommt Repubblika president Robert Aquilina said “ we asked the inquiring magistrate to tale all the necessary action to prevent anyone involved in the ruse from fleeing the country ” He added that court must order the arrest of anyone who could be preparing to abscond as he named former disgraced former prime minister Joseph Muscat and former Labour ministers Konrad Mizzi and Chris Cardona The NGO also asked the magistrate to grant immunity to whoever was involved in the deal and is prepared to reveal their accomplices The NAO report published on Monday concluded that former minister Konrad Mizzi granted Vitals Global Healthcare VGH authorisation to transfer the hospitals concession to Steward Healthcare SHC before seeking Cabinet ’ s approval It also said that Mizzi misled the Cabinet of ministers on the side agreement he concluded with Steward by which government would be liable to pay the company €100 million if a court annulled the contract In a press conference outside the Valletta courthouse on Tuesday afternoon Aquilina underlined a number of findings in the NAO report including the “ unorthodox dynamic that persisted ” between Muscat and Mizzi Among others Aquilina said the NAO report found that Muscat and Mizzi ’ s actions hindered health minister Chris Fearne ’ s ability to negotiate with Steward Healthcare SHC “ The reluctance of the Minister for Tourism to step back from interactions with the SHC was detrimental to the Government ’ s interests for it created a weakness in its position all to evident to the SHC a weakness that – based on that noted by the Minister for Health – was readily exploited ” the NAO said Aquilina also pointed out that Muscat and Mizzi misled the Cabinet of ministers over the agreement that saw government act as guarantor of Steward Healthcare ’ s loan from Bank of Valletta While noting the “ complicity ” between former prime minister Joseph Muscat and Mizzi to mislead the Cabinet of ministers Repubblika asked the inquiring magistrate to order the Attorney General to issue an exemption from prosecution under the Permanent Commission Against Corruption Act for persons involved in the deal who are willing to reveal their accomplices Aquilina explained that former VGH director Ram Tumuluri had wanted to spill the beans on the secret deal adding that the report concluded that Tumuluri had been pressured in to transferring his shares to Steward The application filed this morning by lawyer Jason Azzopardi also asked the magistrate to prevent further destruction of the evidence and prevent the suspects from leaving the island with Aquilina saying that Repubblika was informed that preparations to abscond were already underway Describing the concession as an “ obscene ruse ” Aquilina said the NAO report also highlights the involvement of Muscat ’ s chief of staff Keith Schembri and Konrad Mizzi ’ s then permanent secretary Ronald Mizzi The NAO report Aquilina added states that Muscat and Mizzi ’ s ploy to mislead the Cabinet of ministers would not have been possible without Ronald Mizzi ’ s involvement In 2019 Repubblika had filed an application demanding a criminal probe into the VGH deal after the Criminal Court had quashed an order to hold a magisterial inquiry placing disgraced former ministers Konrad Mizzi Edward Scicluna and Chris Cardona under magisterial scrutiny Cardona had signed a memorandum of understanding with VGH in October 2014 months before a request for proposals was even issued for the concession to operate three of Malta ’ s state hospitals Repubblika had demanded a criminal probe to establish if there was criminal complicity by three ministers in the controversial contract which was then annulled by court in February 2023 In their application the activists had accused the three ministers of facilitating a “ coordinated ” “ act of modernday piracy ” “ corruption and money laundering among other crimes ” which saw VGH ’ s investor leave a debt of €50 million,"['Valletta', 'Valletta']","[(1314, 1322, 'LOC'), (2153, 2161, 'LOC')]"
Muscat revelations ‘textbook case of money laundering’ – Repubblika,"May 17, 2023 2:13 PM",Anticorruption NGO Repubblika has once again asked an inquiring magistrate to consider issuing an order for the arrest of people involved in the fraudulent hospital concession deal before they can flee the country and justice In a press conference outside the courthouse in Valletta Repubblika president Robert Aquilina said that the NGO filed an application demanding the inquiring magistrate to include the latest revelations published on Wednesday The application filed by lawyer Jason Azzopardi also asks the magistrate to consider ordering the arrest of people involved in the deal with Aquilina reiterating that Repubblika is informed that “ at least one or a number of people implicated in fraud corruption and other crimes that carry hefty sentences are making detailed preparations and possibly already putting in action plans to flee the country to dodge justice ” Accusing disgraced former prime minister Joseph Muscat of “ criminal association to launder money originating from corruption ” Aquilina described it as a “ textbook case of money laundering ” Muscat ’ s income declarations and bank accounts have been analysed by financial investigators in a corruption probe into the hospitals ’ deal which was requested by Repubblika in 2019 According to documents obtained by the Organised Crime and Corruption Reporting Project and shared with their partners in Malta – The Shift and The Times of Malta investigators are looking into payments Muscat received from a Swiss firm that was previously named VGH Europe and which is suspected of funnelling public funds back to the investors behind the Vitals Global Health Care Group VGH The hospitals concession was granted to VGH in 2015 while Muscat was prime minister The concession which was later transferred to Steward Healthcare was annulled by court in February of this year with the damning judgment describing the deal as “ fraudulent ” Aquilina said that the latest revelations show that Muscat granted a concession to VGH and these public funds were then passed on to a Swiss firm – Accutor AG – which in turn paid the former prime minister and another VGH investor “ This gives off a very strong whiff of money laundering it seems that it is a textbook case of money laundering ” Aquilina said According to The Times police commissioner Angelo Gafá has resisted carrying out any arrests before the ongoing magisterial inquiry into the deal has been concluded and all the evidence gathered during the fouryear probe handed to the police The investigations are largely being led by a team of local and foreign experts assembled by inquiring magistrate Gabriella Vella In this regard Aquilina said the police chief “ is the biggest obstacle for justice to prevail in our country ” “ From what we have found out this morning not only is Gafá is failing to fulfil his duties as police chief but he is also hindering magistrates who are carrying out their job in full respect of their oath ” He added that hours after the publication of these revelations Gafá has “ remained silent and has not denied anything ”,['Valletta'],"[(274, 282, 'LOC')]"
PN submits new information exposing ‘fraud and collusion’ in hospitals deal,"May 18, 2023 11:54 AM",The Nationalist Party today submitted in court new information it received from a whistleblower involved in the hospitals ’ concession agreement which MP Mark Anthony Sammut said revealed further “ fraud and collusion between public officials and businesspeople ” Sammut together with PN leader Bernard Grech and three other Opposition MPs submitted four volumes of documentation to Magistrate Gabriella Vella who is leading the inquiry into the hospitals deal This comes after a damning NAO report found that disgraced former prime minister Joseph Muscat and former minister Konrad Mizzi misled the Cabinet of ministers over various aspects of the concession deal The hospitals concession was granted to VGH in 2015 while Muscat was prime minister The concession which was later transferred to Steward Healthcare was annulled by court in February of this year with the damning judgment describing the deal as “ fraudulent ” Moreover new revelations published yesterday showed that Muscat received payments from a Swiss firm that was previously named VGH Europe and which is suspected of funnelling public funds back to the investors behind the Vitals Global Health Care Group VGH On Thursday Sammut presented a court application which was signed by PN MPs Karol Aquilina and Joe Giglio Addressing a press conference outside the Valletta courthouse Sammut said the documents include the testimony of the whistleblower copies of agreements that were signed in the deal and copies of emails and chats between representatives of Steward Healthcare and VGH Labour government exponents highranking officials within the government government legal consultants and highranking officials with the public sector Sammut added that this person is also ready to come forward and testify before the inquiring magistrate Explaining that he received the new information in recent days Sammut added that the evidence shows that there was “ fraud collusion between politicians public officials and businessmen threats and false declarations ” “ This is the first time that a person who knew what was happening has stepped forward and given this information to be used to seek the truth ” PN leader Bernard Grech urged anyone who is privy to information on the fraudulent hospitals deal to come forward While pointing out that court was “ the last standing bastion of democracy in Malta ” Grech lashed out at Police Commissioner Angelo Gafá for failing to take criminal action against individuals involved in the concession,['Valletta'],"[(1329, 1337, 'LOC')]"
Konrad Mizzi dismisses NAO report as ‘blatantly false’,"May 15, 2023 8:09 PM",Former Labour minister Konrad Mizzi dismissed the damning National Audit Report which concluded that he had misled the Cabinet of ministers over the hospitals concession deal as “ pure conjecture irresponsible and blatantly false ” Mizzi ’ s tirade against the NAO comes despite his refusal to cooperate with the investigation with the report saying that the former minister ’ s failure to cooperate was “ inexcusable ” The report concluded that Mizzi granted Vitals Global Healthcare VGH authorisation to transfer the hospitals concession to Steward Healthcare SHC before seeking Cabinet ’ s approval It also said that Mizzi misled the Cabinet of ministers on the side agreement he concluded with Steward by which government would be liable to pay the company €100 million if a court annulled the contract The report says that Mizzi “ engineered ” the side deal through his misleading of cabinet The report adds that the “ unorthodox dynamic that persisted ” Mizzi and Muscat to the detriment current health minister Chris Fearne “ remained a matter of grave concern to the NAO ” However in a Facebook post on Monday Mizzi denied this and insisted that Cabinet held lengthy discussion at various stages of the concession deal “ Some context is necessary On the 26th August 2019 I had briefed Cabinet that terms for credit facilities from BOV were discussed and that BOV was seeking additional safeguards The memorandum to Cabinet clearly stated that in the event of a court declaration of nullity of the concession government would become liable to pay the lender ’ s debt and would trigger a government event of default ” Mizzi claimed He added that this was deemed necessary following discussions with the Ministry of Finance Bank of Valletta and other stakeholders “ Lengthy discussions took place in Cabinet on the implications of both lender ’ s debt and a government ’ s event of default and I answered all questions raised by my peers as the then Prime Minister who chaired the meeting himself confirms ” he said in reference to Joseph Muscat Muscat himself had attempted to shift blame of the deal which court said is fraudulent on to his ministers Reacting to the court judgment in February Muscat claimed that all stages leading up to the concession of the hospitals were transparent and legal as they were taken after continuous discussions and decisions by the Cabinet However former minister Evarist Bartolo refuted Muscat ’ s claims and said ” Following comments about the cabinet in reaction to the court ’ s ruling on the hospital ’ s deal with foreign companies is it fair to use the cabinet as a smokescreen ” Bartolo also told Times of Malta that the hospital deal details were not discussed in Cabinet and “ the devil is in the details ” Moreover the court judgment which annulled the concessions pointed out that Mizzi refused to testify and give an explanation after he had resigned from the Cabinet of Ministers on 26 November 2019 Highlighting the testimony given by current health minister Chris Fearne court said Mizzi ’ s resignation came on the very same day Cabinet was discussing an official complaint by Fearne who held that Mizzi had taken decisions and entered into agreements behind his back,['Valletta'],"[(1737, 1745, 'LOC')]"
PN submits new information exposing ‘fraud and collusion’ in hospitals deal,"May 18, 2023 11:54 AM",The Nationalist Party today submitted in court new information it received from a whistleblower involved in the hospitals ’ concession agreement which MP Mark Anthony Sammut said revealed further “ fraud and collusion between public officials and businesspeople ” Sammut together with PN leader Bernard Grech and three other Opposition MPs submitted four volumes of documentation to Magistrate Gabriella Vella who is leading the inquiry into the hospitals deal This comes after a damning NAO report found that disgraced former prime minister Joseph Muscat and former minister Konrad Mizzi misled the Cabinet of ministers over various aspects of the concession deal The hospitals concession was granted to VGH in 2015 while Muscat was prime minister The concession which was later transferred to Steward Healthcare was annulled by court in February of this year with the damning judgment describing the deal as “ fraudulent ” Moreover new revelations published yesterday showed that Muscat received payments from a Swiss firm that was previously named VGH Europe and which is suspected of funnelling public funds back to the investors behind the Vitals Global Health Care Group VGH On Thursday Sammut presented a court application which was signed by PN MPs Karol Aquilina and Joe Giglio Addressing a press conference outside the Valletta courthouse Sammut said the documents include the testimony of the whistleblower copies of agreements that were signed in the deal and copies of emails and chats between representatives of Steward Healthcare and VGH Labour government exponents highranking officials within the government government legal consultants and highranking officials with the public sector Sammut added that this person is also ready to come forward and testify before the inquiring magistrate Explaining that he received the new information in recent days Sammut added that the evidence shows that there was “ fraud collusion between politicians public officials and businessmen threats and false declarations ” “ This is the first time that a person who knew what was happening has stepped forward and given this information to be used to seek the truth ” PN leader Bernard Grech urged anyone who is privy to information on the fraudulent hospitals deal to come forward While pointing out that court was “ the last standing bastion of democracy in Malta ” Grech lashed out at Police Commissioner Angelo Gafá for failing to take criminal action against individuals involved in the concession,['Valletta'],"[(1329, 1337, 'LOC')]"
"Seven youths charged with terrorism shared jihadist propaganda, court hears","May 15, 2023 3:00 PM",Tista ' taqra bil Malti Seven youths who have been charged with terrorism have allegedly shared jihadist propaganda to their social media accounts This emerged during the first sitting in the committal proceedings against seven Syrian men aged between 21 and 27 The men are Ajil Al Muhsen 21 Adnan Maashi 21 Yazan Abduklaziz 26 Ahmed Kadas 25 Khalil Al Mahmoud 21 Ahmed Ahmed 27 and Mohammed Mohammed 24 all of whom are from Homs except for one who is from Raqqa They are accused of distributing material aimed at inciting acts of terrorism recruiting or encouraging persons to carry out acts of terrorism or to travel abroad as part of a terrorist plot receiving and providing training on the use of firearms and explosives specifically for terrorismrelated purposes financing or organising overseas travel for terrorismrelated training and disseminating extremist material which supports terrorist activity The men are also accused of conspiracy to commit a crime conspiring with persons overseas to commit a crime in Malta conspiring with an armed group “ for the use or or display of physical force in promoting any political objective ” and forming part of a criminal organisation Al Muhsen was further accused of tampering with a passport that had been issued to another person and attempting to make use of it in July 2020 They are pleading not guilty During Monday ’ s sitting the court presided over by Magistrate Nadine Lia heard how the investigation had began in August 2022 when the police started investigating a small number of individuals after they published extremist material related to Daesh – a militant Islamist group and former unrecognised quasistate ISIS – on their social media accounts In court it emerged that the men would pray together at an unofficial Santa Venera mosque instead of meeting at Paola Earlier this year the police noticed that the amount and frequency of radicalized and extremist content that was being published on their social media had increased The police had asked for the assistance of Europol in their investigation and a magisterial inquiry kicked off in March 2023 Most of the men had sought asylum in Malta in 2017 and were granted subsidiary protection The police established that the men came from AlSukhnah which is part of the Homs Governorate The prosecuting inspector explained that in August 2017 Daesh had lost control of AlSukhnah after the Syrian government troops regained control According to the witness Al Muhsen shared nasheeds a song without musical instruments with lyrics that resemble hymns that praise Allah as stories Some of them featured prominent Daesh members such as Turki alBinali Othman Al Nazih Abu Malik AlTamimi among others The accused not only shared speeches by these prominent figures but also uploaded videos of himself singing the nasheeds which spoke about jihad martyrdom and Sharia law Police inspectors Jeffrey Cutajar and Jean Paul Attard are prosecuting assisted by AG lawyers Antoine Agius Bonnici Francesco Refalo and Rebecca Spiteri Lawyers Jose Herrera Alexander Scerri Herrera Alicia Borg are defence counsel The case continues this month,"['Paola', 'Attard']","[(1825, 1830, 'LOC'), (2931, 2937, 'LOC')]"
Motorcyclists blame poorly designed crash barriers for latest road fatality,"May 15, 2023 1:53 PM",Tista ' taqra bil Malti Many have taken to Facebook to express their anger after Rupert Tabone tragically died on Sunday afternoon blaming the poorly designed crash barriers for the latest fatality Tabone 54 died on Sunday afternoon after he lost control of his motorcycle on Triq Dun Karm in Birkirkara The man was pronounced dead on site Footage from the incident site show that the victim was caught between the crash barriers dividing the two carriageways with eyewitnesses explaining that he was stuck beneath them Several motorcyclists have once again highlighted that such crash barriers are a death trap and responsible for many deaths In the past motorcyclists warned that the crash barrier ends can be “ like crashing into the sharp edge of a knife ” A 2015 study by the Swedish Motorcyclists Association had found that guardrails with unprotected posts and protruding parts lead to the most serious injuries Smooth barriers without unprotected posts provide less risk of injury According to the Federation of European Motorcyclists Association space underneath the crash barrier beam can also be dangerous Riders sliding on the ground can go underneath the guardrail or hit a post and both can lead to severe injury Crash barriers are specifically designed to minimise car and heavy vehicle damage but are dangerous for motorcycle riders ĦażŻebbuġ councillor Steve Zammit Lupi who is a motorcyclist himself likened the crash barriers to a grater and said they cause serious injuries to the victim,['Birkirkara'],"[(293, 303, 'LOC')]"
496 building permits approved in first three months – NSO,"May 15, 2023 11:54 AM",Tista ' taqra bil Malti A total of 496 building permits covering 2540 new dwellings were approved in the first quarter of 2023 according to the latest figures published by the National Statistics Office The figures show an 186 decrease when compared to the amount of building permits approved during the same period in the preceding year It also shows that the number of approved new dwellings decreased by 207 The average number of approved new dwellings per building permit stood at 51 1819 apartments were approved between January and March 2023 This was followed by 393 penthouses 224 maisonettes 74 terraced houses and 30 other residential units The other residential units include bungalows farmhouses and villas Apartments accounted for 716 of the total number of approved dwellings The NSO figures show that the number of new dwellings approved in Malta and Gozo and Comino decreased by 189 and 29 respectively The highest number of approved dwellings were registered in the Northern district 599 while the lowest number was recorded in the Southern Harbour district 270 A total of 178 new dwellings were issued for St Paul ’ s Bay followed by Naxxar 121 Mellieħa 120 Ħal Balzan 111 and Birkirkara and ĦażŻebbuġ with 100 each,"['Naxxar', 'Mellieħa', 'Balzan', 'Birkirkara']","[(1152, 1158, 'LOC'), (1163, 1171, 'LOC'), (1180, 1186, 'LOC'), (1195, 1205, 'LOC')]"
Two remanded in custody over thefts from parked car,"May 15, 2023 11:26 AM",A man and a woman both aged 47 have been remanded in custody following their arrest in connection to a theft from a parked car Following their arrest CCTV footage linked the pair to other thefts and on Monday they were changed with four thefts allegedly done between 27 April and 14 May The first theft involved a radio and tools worth some €700 while they were also charged with stealing a Suzuki Samurai vehicle other items worth €600 and a car stereo in Saturday night ’ s theft While the woman was charged as an accomplice as she also was in previous cases the man was charged with breaching two bail decrees Both pleaded not guilty however while the man ’ s lawyer – David Bonello – did not request bail the lawyers repressing the woman requested bail Her lawyer Mario Mifsud asked court to have the woman detained at Mount Carmel hospital so to receive adequate treatment for severe drug addiction The prosecution confirmed that she had admitted in her statement that she had a severe drug problem Court heard that the woman told investigators that she needed thousands of euros a month to sustain her addiction But magistrate Natasha Galea Sciberras declared that at this stage the woman was not deemed sufficiently trustworthy and both were remanded in custody Inspectors Roderick Agius and James Mallia prosecuted Lawyers David Bonello and Mario Mifsud were defence counsel The pair were caught redhanded after the police were informed about two individuals acting suspiciously on Mdina Road in ĦażŻebbuġ The police responded to the call and found two individuals that matched the description next to a vehicle which was open The car radio had already been removed the police said in a statement on Monday The pair tried fleeing the scene when they realised that the police were onsite however they were immediately arrested During the search the police found them to be carrying a torch and flick knives The police retrieved a radio glasses charges among other objects that have been left in a nearby patch of grass The police established that the pair had carried out similar thefts at the end of April and beginning of May They were taken to the Police Headquarters in Floriana for further questions and will be arraigned before magistrate Natasha Galea Sciberras on Monday afternoon,['Floriana'],"[(2181, 2189, 'LOC')]"
Tal-Ibraġ residents urge Prime Minister to stop 10-storey development pending appeal,"May 15, 2023 10:36 AM",Tista ' taqra bil Malti A group of residents from TalIbraġ urged prime minister Robert Abela to step in and halt a project which would see a tenstorey building replacing Halland hotel until the appeals are decided The project proposed by Tumas Group includes the demolishment of the hotel fronting Wied ilKbir to be replaced with 71 residential units – 61 of which are threebedroom units seven twobedroom units and three onebedroom units The development proposal was approved in 2019 amid residents ’ concern Despite appeals by a group of residents together with San Ġwann and Swieqi local councils Halland Developments Company Limited – a subsidiary of Tumas Group – proposed a new configuration adding four residential units together with those that had already been approved It also proposed an extra three parking slots TalIbrag Owners Association has urged the prime minister to for works on the block to be stopped pending the conclusions of appeals filed against the development The association said it has been fighting a long and arduous battle against the tenstorey block of apartments which is currently under construction It underlined that the development goes against the local policy which limits building heights to five storeys It added that the tenstorey building would have a detrimental affect on the area The hotel was built on 30 of the site however the new development would be spread on 90 according to the association warning it would sprawl onto protected valleys in the area Earlier this year the Environment and Planning Review Tribunal had turned down a request for the suspension of ongoing works “ As residents we are very concerned that all the efforts and expenses incurred in this appeal are being prejudiced by the very nature of the appeals process This construction is progressing at a fast pace while the appeals process is still ongoing ” the residents said The association added that there were only a few cases where buildings were demolished after a permit was revoked and added it was concerned that its efforts were in vain The statement concludes with the association urging the competent authorities to suspend the works until the appeal proceedings are concluded,['Swieqi'],"[(577, 583, 'LOC')]"
